100;1;Queso-Americano;2500;80
100;2;Queso-Mozarella;2500;80
100;3;Tocineta;3000;50
100;4;Pepinillos;1500;50
100;5;Cebolla-Blanca;0;40
100;6;Cebolla-Cryspi;2000;40
100;7;Huevo-de-Codorniz;1000;80
100;8;Jamon;2000;80
100;9;Piña-Asada;2000;60
100;10;Porcion-Maduro;2000;60
100;11;Lechuga;0;60
100;12;Tomate;0;60
200;1;Postobon-400ml;4000;15
200;2;Pepsi-400ml;4000;15
200;3;Coca-Cola-400ml;4000;15
200;4;Colombiana-400ml;4000;15
200;5;Quatro-400ml;4000;15
200;6;Sprite-400ml;4000;15
200;7;Mr-tea;6500;15
200;8;Agua-Botella;6500;15
300;1;Porcion-papas;5000;80
300;2;Aros-de-Cebolla;3000;40
300;3;ICE;5000;50
400;1;Willy´s;14000;20
400;2;Doble;22000;20
400;3;Triple;30000;20
